Places ID,Nama,Kategori,Jam Buka,Jam Tutup,Lokasi,Link Lokasi,Deskripsi,Link Gambar
1,Agrowisata Sondokoro Karanganyar,Nature & Adventure & Park,8.00,17.00,"CWFJ+FJM, Jl. Mangkunegara Bojonegara, Nglande Wetan, Ngijo, Kec. Tasikmadu, Kabupaten Karanganyar, Jawa Tengah 42454",https://maps.app.goo.gl/q94ydPtEtYxzydyd6,"Agrowisata Sondokoro menawarkan pengalaman wisata edukasi di tengah perkebunan tebu yang hijau dan asri di Karanganyar. Wisatawan dapat mengikuti tur pabrik gula untuk melihat proses produksi gula dari tebu secara langsung. Selain itu, tersedia wahana kereta wisata, kolam renang, dan taman bermain yang cocok untuk keluarga. Suasana alami yang sejuk menjadi daya tarik utama tempat ini.

Tempat ini juga menyediakan area piknik, fasilitas kuliner, dan toko oleh-oleh yang menjual produk olahan tebu khas Sondokoro. Agrowisata ini cocok untuk wisata edukasi bagi pelajar maupun rombongan keluarga yang ingin menikmati liburan santai sambil belajar tentang industri gula.",https://storage.googleapis.com/bucketsformodel/gambar/agrowisata_sandokoro.webp
2,Air Terjun Jumog,Nature & Adventure & Park,8.00,16.00,"949G+M6W, Jl. Jumog Taman batu tiban, Gandu, Berjo, Kec. Ngargoyoso, Kabupaten Karanganyar, Jawa Tengah 57793",https://maps.app.goo.gl/RPzZjkSuUThnc4kU9,"Air Terjun Jumog, yang dikenal sebagai surga yang hilang, adalah destinasi alam di Tawangmangu, Karanganyar. Dikelilingi oleh pepohonan yang rindang dan udara sejuk pegunungan, air terjun ini memberikan suasana yang menenangkan. Jalur menuju air terjun dapat ditempuh dengan mudah, meski membutuhkan sedikit berjalan kaki, sehingga cocok untuk semua kalangan.

Fasilitas seperti jembatan kayu, warung makan, dan area bermain anak mempermudah kunjungan wisatawan. Dengan ketinggian sekitar 30 meter, Air Terjun Jumog menjadi pilihan ideal untuk melepas penat dan menikmati keindahan alam yang memikat.",https://storage.googleapis.com/bucketsformodel/gambar/JUMOG.jpg
3,Alas Bromo,Nature & Adventure & Park,8.00,16.00,"CX8X+M67, Pelet, Gedong, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah",https://maps.app.goo.gl/4YomfaTPMRhBy8ka7,"Alas Bromo di Karanganyar adalah destinasi wisata alam yang menyajikan keindahan hutan tropis dan udara segar pegunungan. Tempat ini menawarkan suasana yang damai, jauh dari kebisingan kota, sehingga sangat cocok untuk para pencinta alam dan kegiatan outdoor.

Selain menikmati pemandangan hijau, pengunjung juga dapat menjelajahi jalur trekking yang tersedia atau sekadar bersantai di bawah rindangnya pepohonan. Alas Bromo sering dijadikan lokasi untuk camping, hiking, maupun kegiatan komunitas yang ingin merasakan kedekatan dengan alam.",https://storage.googleapis.com/bucketsformodel/gambar/ALAS_BROMO.webp
4,Bendungan Colo,Nature & Adventure & Park,0.00,23.59,"Desa Pengkol, Kecamatan Nguter, Kabupaten Sukoharjo, Jawa Tengah",https://maps.app.goo.gl/jwGA4vrPkptPL4XP7,"Bendungan Colo adalah tempat wisata yang memadukan fungsi sebagai infrastruktur irigasi dengan pesona alam yang menawan. Terletak di Kabupaten Karanganyar, bendungan ini menawarkan pemandangan air yang luas dengan latar belakang perbukitan hijau. Wisatawan sering datang untuk menikmati suasana damai sambil berfoto di sekitar bendungan.

Fasilitas yang tersedia termasuk area parkir, warung makan, dan tempat duduk untuk bersantai. Bendungan Colo juga menjadi lokasi favorit bagi pemancing yang ingin mencoba keberuntungan mereka di perairan bendungan.",https://storage.googleapis.com/bucketsformodel/gambar/BENDUNGAN_COLO.jpg
5,Benteng Vastenburg,Historical & Museum,8.00,17.00,"Kedung Lumbu, Pasar Kliwon, Surakarta City, Central Java 57133",https://maps.app.goo.gl/1bgin9y11z6WJdcf9,"Benteng Vastenburg adalah peninggalan kolonial Belanda yang berada di jantung Kota Solo. Bangunan bersejarah ini memiliki arsitektur khas benteng dengan dinding tebal dan area lapangan yang luas. Tempat ini sering digunakan untuk acara seni dan budaya seperti pameran, konser, dan festival.

Sebagai salah satu ikon Kota Solo, Benteng Vastenburg tidak hanya menarik wisatawan yang tertarik pada sejarah, tetapi juga penggemar fotografi. Keindahan arsitektur klasiknya membuat benteng ini menjadi spot foto yang menarik, terutama saat senja.",https://storage.googleapis.com/bucketsformodel/gambar/BentengVastenburg.jpg
6,Bukit Cumbri,Nature & Adventure & Park,0.00,23.59,"5854+P92, Kepyar, Purwantoro, Kabupaten, Ngudal, Pagerukir, Kec. Sampung, Kabupaten Wonogiri, Jawa Tengah 57695",https://maps.app.goo.gl/WMjbM94czY789nPY7,"Bukit Cumbri adalah destinasi favorit bagi para pendaki pemula yang ingin menikmati panorama alam dari ketinggian. Terletak di perbatasan Wonogiri dan Ponorogo, bukit ini menawarkan pemandangan hamparan perbukitan hijau yang menakjubkan.

Pendakian menuju puncak Bukit Cumbri relatif singkat namun cukup menantang. Di puncak, pengunjung dapat menikmati pemandangan matahari terbit atau terbenam yang memukau, menjadikannya tempat yang populer bagi pencinta fotografi alam.",https://storage.googleapis.com/bucketsformodel/gambar/BukitCumbri.webp
7,Bumi Perkemahan Sekipan,Nature & Adventure & Park,0.00,23.59,"84GW+XM5 Bumi Perkemahan Sekipan, Area Hutan, Kalisoro, Kec. Tawangmangu, Kabupaten Karanganyar, Jawa Tengah 57792",https://maps.app.goo.gl/L5h2Vv1ED4sthPqM8,"Bumi Perkemahan Sekipan terletak di Tawangmangu, Karanganyar, dan merupakan destinasi ideal untuk berkemah dan kegiatan outdoor. Tempat ini menawarkan fasilitas lengkap untuk camping, seperti area berkemah yang luas, toilet, dan tempat api unggun. Dikelilingi hutan pinus yang asri, suasananya sangat sejuk dan tenang.

Selain camping, pengunjung juga dapat menikmati wahana rekreasi yang tersedia, seperti taman bermain dan replika landmark dunia. Sekipan sering menjadi tujuan wisata edukasi, gathering komunitas, atau sekadar liburan keluarga yang ingin menikmati alam.",https://storage.googleapis.com/bucketsformodel/gambar/BumiPerkemahanSekipan.jpg
8,Candi Cetho,Historical & Museum,7.30,16.30,"C534+J55, Ceto, RT.01/RW.03, Cetho, Gumeng, Kec. Jenawi, Kabupaten Karanganyar, Jawa Tengah 57792",https://maps.app.goo.gl/2XpdWtifwTfNKQAV6,"Candi Cetho adalah situs bersejarah bercorak Hindu yang berada di lereng Gunung Lawu. Candi ini memiliki arsitektur unik berupa teras-teras yang berundak, mencerminkan keindahan seni dan budaya pada masa kerajaan Hindu. Suasananya yang tenang dan sejuk membuat tempat ini menjadi lokasi spiritual sekaligus wisata sejarah.

Selain menikmati keindahan candi, pengunjung dapat menyaksikan panorama pegunungan yang memukau dari ketinggian. Candi Cetho juga sering dijadikan tempat meditasi dan pelestarian budaya, menarik minat wisatawan domestik maupun mancanegara.",https://storage.googleapis.com/bucketsformodel/gambar/CandiCetho.jpg
9,Candi Kethek,Historical & Museum,7.30,16.30,"C546+F3W lereng lawu, Anggrasmanis, Gumeng, Kec. Jenawi, Kabupaten Karanganyar, Jawa Tengah 57794",https://maps.app.goo.gl/XGpfGFzxCXi543dY9,"Candi Kethek, yang terletak tidak jauh dari Candi Cetho, adalah situs purbakala lain di kawasan Gunung Lawu. Candi ini memiliki bentuk unik menyerupai piramida bertingkat yang mencerminkan budaya Hindu-Jawa. Meski tidak sebesar Candi Cetho, keasrian dan kesederhanaan Candi Kethek memiliki daya tarik tersendiri.

Lokasi candi ini cukup tersembunyi di dalam hutan, sehingga pengunjung dapat menikmati suasana yang tenang dan alami selama perjalanan. Candi ini sering dikunjungi sebagai bagian dari eksplorasi sejarah dan budaya di kawasan lereng Gunung Lawu.",https://storage.googleapis.com/bucketsformodel/gambar/CandiKethek.webp
10,Candi Sukuh,Historical & Museum,7.00,15.00,"94FJ+3JC, Tambak, Berjo, Kec. Ngargoyoso, Kabupaten Karanganyar, Jawa Tengah 57793",https://maps.app.goo.gl/xN5XCarTNrCTZHyZ7,"Candi Sukuh dikenal karena arsitektur uniknya yang berbeda dari candi-candi Hindu lainnya, menyerupai piramida Mesoamerika. Candi ini terletak di Karanganyar, di kaki Gunung Lawu, dan memiliki suasana yang mistis sekaligus menenangkan. Relief-relief di dinding candi menyimpan berbagai cerita mitologi Hindu.

Selain nilai sejarahnya, pemandangan pegunungan di sekitar Candi Sukuh juga menjadi daya tarik wisatawan. Tempat ini sering dikunjungi oleh para pencinta sejarah, seni, dan budaya, serta wisatawan yang mencari ketenangan di tengah alam.",https://storage.googleapis.com/bucketsformodel/gambar/CandiSukuh.jpg
